id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5687423,Great 2BR flat in the old town - Niederdorf,23561865,1465274926504678242,Dimiter,Kreis 1,Rathaus,47.37286,8.54384,Entire home/apt,0,1,296,2026-06-09,2.43,145,19,48,
5744466,"3,5r family flat &practical located",8287735,1462764621501188409,Fuwa,Kreis 11,Seebach,47.41815,8.55864,Entire home/apt,0,3,180,2026-06-07,1.33,1,210,27,
6007128,"Sofa bed. Quiet, Safe, Clean",1371406,1462544015656076697,Jens,Kreis 11,Oerlikon,47.40464,8.55428,Private room,,2,94,2024-08-14,0.69,2,0,0,
6080762,"Charming, green & very close 2 city",22600456,1462621859352823694,Jana,Kreis 12,Hirzenbach,47.39872,8.58788,Entire home/apt,0,2,14,2019-07-28,0.10,1,264,0,
6099740,1BR apartment close to Bellevue (SF7),23561865,1465274926504678242,Dimiter,Kreis 8,Mühlebach,47.36249,8.55061,Entire home/apt,0,1,118,2026-06-14,0.87,145,105,12,
6203434,Charmin Studio / old town UZ8,23561865,1465274926504678242,Dimiter,Kreis 1,Rathaus,47.37079,8.54595,Entire home/apt,,2,203,2026-04-28,1.53,145,0,12,
6293591,Cozy Studio for 3 with Roof terrace!,75558392,1487906327853189561,Filipa,Kreis 3,Alt-Wiedikon,47.36706,8.51947,Entire home/apt,0,1,544,2026-06-19,4.04,3,173,32,
6311102,Charming Studio in the old town - UZ15,23561865,1465274926504678242,Dimiter,Kreis 1,Rathaus,47.371803283691406,8.545409202575684,Entire home/apt,0,1,62,2026-06-15,0.46,145,98,35,
6473595,"B2l - 3BR, castle Neumuenster, 8008 ZH",18715465,1463059615258550802,Joy,Kreis 8,Weinegg,47.36231,8.55827,Entire home/apt,,1,62,2026-05-27,0.51,15,66,4,
6590086,einfaches Zimmer 1 Person / bei Anfrage 2,34472084,1465506500930196220,Räto,Kreis 9,Altstetten,47.38529,8.48208,Private room,,1,1,2024-07-11,0.04,1,0,0,
6669104,Exclusive Loft in Seefeld (Mühle),23561865,1465274926504678242,Dimiter,Kreis 8,Mühlebach,47.35172,8.56133,Entire home/apt,0,2,65,2026-05-17,0.49,145,87,15,
6752793,Near University and ETH,24506658,1465305513293950129,Anka,Kreis 7,Fluntern,47.37905,8.55564,Private room,,1,181,2025-04-17,1.35,1,82,0,
6857376,Attic Apartment Zurich City,34541936,1465507726438345467,Strahinja,Kreis 4,Hard,47.37792,8.51425,Entire home/apt,,1,551,2026-06-28,5.26,11,0,38,
6858968,Cosy flat with home-office  in charming Seefeld,773469,1462528962146911162,Cécile,Kreis 8,Mühlebach,47.36555,8.54881,Entire home/apt,0,4,22,2026-06-21,0.17,1,352,3,
6862908,Maisonette flat / old town (UZ10),23561865,1465274926504678242,Dimiter,Kreis 1,Rathaus,47.37285,8.54585,Entire home/apt,,2,167,2026-04-21,1.53,145,2,16,
6996487,Comfortable Room in a Shared House,36591564,1465544977467523900,Daniela,Kreis 6,Oberstrass,47.39312,8.55122,Private room,0,3,0,,,1,365,0,
7232723,Luxury Apartment w Roof Top Terrace,5470758,1462681630324690094,Branca,Kreis 1,Hochschulen,47.37789,8.54338,Entire home/apt,0,3,10,2026-06-21,0.08,1,355,1,
7351146,Zentrale 1 Zimmer Whg mit Gartensitzplatz,10219462,1462834656143408920,Anni,Kreis 6,Unterstrass,47.39371,8.53636,Entire home/apt,0,5,10,2026-05-28,0.08,1,85,2,
7449801,Zimmer mit Bad im Herzen Zürichs,2904606,1462526950138092578,Sigrid,Kreis 7,Hottingen,47.36775,8.55742,Private room,0,5,47,2026-06-08,0.36,2,353,3,
7589458,城市中心1号Oerlikon Bahnhof,39800475,1462682612479579261,Jun,Kreis 11,Oerlikon,47.41202,8.54668,Private room,1,1,290,2026-06-28,4.96,2,331,59,
7599396,"Big and comfortable flat, centrally located",9176822,1462796817786542730,Ferrat,Kreis 4,Hard,47.37571,8.517,Entire home/apt,,5,14,2026-05-25,0.11,2,90,1,
7613086,苏黎世火车站2号Oerlikon  bahnhof,39800475,1462682612479579261,Jun,Kreis 11,Oerlikon,47.40874,8.54407,Private room,1,1,201,2026-05-31,1.52,2,249,18,
7646490,Clean & Modern Zürich Apt | Great Transport Links,4387358,1462535287911996571,Mo & Angelika,Kreis 9,Altstetten,47.38479,8.49355,Entire home/apt,0,14,23,2026-06-01,0.17,2,364,5,
7673299,Stadt Zürich- freundliches Zimmer (2),564859566,1698735279012732542,Apartments Zuerich,Kreis 9,Altstetten,47.38086,8.4819,Private room,,30,79,2026-06-14,0.60,15,3,5,
7673510,Stadt Zürich-kleines Zimmer (1) in Gästehaus,564859566,1698735279012732542,Apartments Zuerich,Kreis 9,Altstetten,47.38002,8.48089,Private room,,30,90,2026-06-13,0.68,15,290,8,
7737458,Garden Studio Apartment 2,40667302,1465605745221598258,Peter,Kreis 7,Fluntern,47.37749,8.56042,Entire home/apt,0,1,20,2026-04-01,0.15,14,3,1,
7739547,Garden Studio Apartment 1,40667302,1465605745221598258,Peter,Kreis 7,Fluntern,47.37895,8.55839,Entire home/apt,0,2,45,2026-05-29,0.34,14,126,1,
7741739,Zurlinden Studio Apartment 1,40667302,1465605745221598258,Peter,Kreis 4,Hard,47.37765,8.51169,Entire home/apt,0,2,10,2025-08-04,0.08,14,327,2,
7746167,"Big & comfi 25m2 private room, centrally located",9176822,1462796817786542730,Ferrat,Kreis 3,Sihlfeld,47.37398,8.51586,Private room,,5,47,2025-09-28,0.36,2,180,3,
